Timestamp,Framerate,Active_Entities,Memory_MB,Active_Quadtree_Nodes
1772102580.588,2.87,1,0.707,1
1772102580.615,38.46,1,0.707,1
1772102580.636,45.45,1,0.707,1
1772102580.659,43.48,1,0.707,1
1772102580.682,43.48,1,0.707,1
1772102580.703,47.62,1,0.707,1
1772102580.723,50.00,1,0.707,1
1772102580.742,52.63,1,0.707,1
1772102580.761,52.63,1,0.707,1
1772102580.782,47.62,1,0.707,1
1772102580.805,43.48,1,0.707,1
1772102580.830,40.00,1,0.707,1
1772102580.858,35.71,1,0.707,1
1772102580.877,52.63,1,0.707,1
1772102580.895,55.56,1,0.707,1
1772102580.913,55.56,1,0.707,1
1772102580.931,55.56,1,0.707,1
1772102580.948,58.82,1,0.707,1
1772102580.968,50.00,1,0.707,1
1772102580.985,58.82,1,0.707,1
1772102581.003,55.56,1,0.707,1
1772102581.021,55.56,1,0.707,1
1772102581.038,58.82,1,0.707,1
1772102581.055,58.82,1,0.707,1
1772102581.072,58.82,1,0.707,1
1772102581.089,58.82,1,0.707,1
1772102581.106,58.82,1,0.707,1
1772102581.123,58.82,1,0.707,1
1772102581.139,62.50,1,0.707,1
1772102581.156,58.82,1,0.707,1
1772102581.173,58.82,1,0.707,1
1772102581.190,58.82,1,0.707,1
1772102581.207,58.82,1,0.707,1
1772102581.223,62.50,1,0.707,1
1772102581.240,58.82,1,0.707,1
1772102581.257,58.82,1,0.707,1
1772102581.273,62.50,1,0.707,1
1772102581.290,58.82,1,0.707,1
1772102581.306,62.50,1,0.707,1
1772102581.323,58.82,1,0.707,1
1772102581.339,62.50,1,0.707,1
1772102581.356,58.82,1,0.707,1
1772102581.373,58.82,1,0.707,1
1772102581.389,62.50,1,0.707,1
1772102581.406,58.82,1,0.707,1
1772102581.423,58.82,1,0.707,1
1772102581.440,58.82,1,0.707,1
1772102581.456,62.50,1,0.707,1
1772102581.473,58.82,1,0.707,1
1772102581.490,58.82,1,0.707,1
1772102581.506,62.50,1,0.707,1
1772102581.523,58.82,1,0.707,1
1772102581.540,58.82,1,0.707,1
1772102581.556,62.50,1,0.707,1
1772102581.573,58.82,1,0.707,1
1772102581.590,58.82,1,0.707,1
1772102581.607,58.82,1,0.707,1
