Timestamp,Framerate,Active_Entities,Memory_MB,Active_Quadtree_Nodes
1772209125.920,2.92,1,0.707,1
1772209125.986,15.15,1,0.707,1
1772209126.004,58.82,1,0.707,1
1772209126.021,55.56,1,0.707,1
1772209126.039,55.56,1,0.707,1
1772209126.057,58.82,1,0.707,1
1772209126.075,52.63,1,0.707,1
1772209126.093,58.82,1,0.707,1
1772209126.111,52.63,1,0.707,1
1772209126.129,58.82,1,0.707,1
1772209126.146,55.56,1,0.707,1
1772209126.163,58.82,1,0.707,1
1772209126.180,58.82,1,0.707,1
1772209126.196,62.50,1,0.707,1
1772209126.212,62.50,1,0.707,1
1772209126.234,45.45,1,0.707,1
1772209126.251,58.82,1,0.707,1
1772209126.267,62.50,1,0.707,1
1772209126.284,62.50,1,0.707,1
1772209126.299,62.50,1,0.707,1
1772209126.315,62.50,1,0.707,1
1772209126.332,58.82,1,0.707,1
1772209126.349,62.50,1,0.707,1
1772209126.365,62.50,1,0.707,1
1772209126.380,62.50,1,0.707,1
1772209126.397,62.50,1,0.707,1
1772209126.413,58.82,1,0.707,1
1772209126.429,62.50,1,0.707,1
1772209126.446,58.82,1,0.707,1
1772209126.463,58.82,1,0.707,1
1772209126.480,58.82,1,0.707,1
1772209126.499,55.56,1,0.707,1
1772209126.515,58.82,1,0.707,1
1772209126.532,58.82,1,0.707,1
1772209126.548,62.50,1,0.707,1
1772209126.564,62.50,1,0.707,1
1772209126.580,62.50,1,0.707,1
1772209126.599,52.63,1,0.707,1
1772209126.616,62.50,1,0.707,1
1772209126.631,62.50,1,0.707,1
1772209126.647,62.50,1,0.707,1
1772209126.664,58.82,1,0.707,1
1772209126.682,58.82,1,0.707,1
1772209126.699,55.56,1,0.707,1
1772209126.716,58.82,1,0.707,1
1772209126.732,62.50,1,0.707,1
1772209126.749,62.50,1,0.707,1
1772209126.764,62.50,1,0.707,1
1772209126.781,58.82,1,0.707,1
1772209126.798,58.82,1,0.707,1
1772209126.814,62.50,1,0.707,1
1772209126.831,58.82,1,0.707,1
1772209126.851,50.00,1,0.707,1
1772209126.868,62.50,1,0.707,1
1772209126.884,58.82,1,0.707,1
1772209126.901,58.82,1,0.707,1
1772209126.918,58.82,1,0.707,1
1772209126.934,62.50,1,0.707,1
1772209126.950,62.50,1,0.707,1
1772209126.966,62.50,1,0.707,1
1772209126.983,58.82,1,0.707,1
1772209127.000,62.50,1,0.707,1
1772209127.015,62.50,1,0.707,1
1772209127.032,62.50,1,0.707,1
1772209127.047,62.50,1,0.707,1
1772209127.064,62.50,1,0.707,1
1772209127.080,62.50,1,0.707,1
1772209127.098,52.63,1,0.707,1
1772209127.115,58.82,1,0.707,1
1772209127.132,58.82,1,0.707,1
1772209127.148,62.50,1,0.707,1
1772209127.165,58.82,1,0.707,1
1772209127.182,58.82,1,0.707,1
1772209127.199,62.50,1,0.707,1
1772209127.215,58.82,1,0.707,1
1772209127.231,62.50,1,0.707,1
1772209127.248,62.50,1,0.707,1
1772209127.264,62.50,1,0.707,1
1772209127.279,62.50,1,0.707,1
1772209127.296,58.82,1,0.707,1
1772209127.313,62.50,1,0.707,1
1772209127.332,52.63,1,0.707,1
1772209127.348,58.82,1,0.707,1
1772209127.364,62.50,1,0.707,1
1772209127.380,62.50,1,0.707,1
1772209127.396,62.50,1,0.707,1
1772209127.413,62.50,1,0.707,1
1772209127.433,50.00,1,0.707,1
1772209127.449,58.82,1,0.707,1
1772209127.466,58.82,1,0.707,1
1772209127.482,62.50,1,0.707,1
1772209127.498,62.50,1,0.707,1
1772209127.515,58.82,1,0.707,1
1772209127.532,58.82,1,0.707,1
1772209127.549,62.50,1,0.707,1
1772209127.565,58.82,1,0.707,1
1772209127.582,58.82,1,0.707,1
1772209127.599,62.50,1,0.707,1
1772209127.616,55.56,1,0.707,1
1772209127.632,62.50,1,0.707,1
1772209127.649,62.50,1,0.707,1
1772209127.665,58.82,1,0.707,1
1772209127.682,58.82,1,0.707,1
1772209127.698,62.50,1,0.707,1
1772209127.715,62.50,1,0.707,1
1772209127.732,55.56,1,0.707,1
1772209127.749,58.82,1,0.707,1
1772209127.765,62.50,1,0.707,1
1772209127.782,58.82,1,0.707,1
1772209127.799,62.50,1,0.707,1
1772209127.815,58.82,1,0.707,1
1772209127.832,58.82,1,0.707,1
1772209127.849,62.50,1,0.707,1
1772209127.866,58.82,1,0.707,1
1772209127.882,58.82,1,0.707,1
1772209127.899,58.82,1,0.707,1
1772209127.915,62.50,1,0.707,1
