Timestamp,Framerate,Active_Entities,Memory_MB,Active_Quadtree_Nodes
1772209844.597,0.79,1,0.707,0
1772209844.636,25.64,1,0.707,0
1772209844.656,50.00,1,0.707,0
1772209844.679,45.45,1,0.707,0
1772209844.702,43.48,1,0.707,0
1772209844.721,52.63,1,0.707,0
1772209844.739,55.56,1,0.707,0
1772209844.759,50.00,1,0.707,0
1772209844.778,52.63,1,0.707,0
1772209844.798,50.00,1,0.707,0
1772209844.816,55.56,1,0.707,0
1772209844.835,50.00,1,0.707,0
1772209844.854,55.56,1,0.707,0
1772209844.871,55.56,1,0.707,0
1772209844.889,55.56,1,0.707,0
1772209844.911,47.62,1,0.707,0
1772209844.928,55.56,1,0.707,0
1772209844.946,55.56,1,0.707,0
1772209844.964,58.82,1,0.707,0
1772209844.981,58.82,1,0.707,0
1772209844.998,58.82,1,0.707,0
1772209845.016,55.56,1,0.707,0
1772209845.033,58.82,1,0.707,0
1772209845.051,55.56,1,0.707,0
1772209845.068,58.82,1,0.707,0
1772209845.086,55.56,1,0.707,0
1772209845.104,55.56,1,0.707,0
1772209845.120,58.82,1,0.707,0
1772209845.137,58.82,1,0.707,0
1772209845.154,62.50,1,0.707,0
1772209845.171,58.82,1,0.707,0
1772209845.188,58.82,1,0.707,0
1772209845.206,55.56,1,0.707,0
1772209845.223,58.82,1,0.707,0
1772209845.244,47.62,1,0.707,0
1772209845.263,52.63,1,0.707,0
1772209845.280,58.82,1,0.707,0
1772209845.297,58.82,1,0.707,0
1772209845.314,58.82,1,0.707,0
1772209845.331,55.56,1,0.707,0
1772209845.348,58.82,1,0.707,0
1772209845.366,58.82,1,0.707,0
1772209845.383,58.82,1,0.707,0
1772209845.400,58.82,1,0.707,0
1772209845.417,58.82,1,0.707,0
1772209845.434,58.82,1,0.707,0
1772209845.451,58.82,1,0.707,0
1772209845.468,58.82,1,0.707,0
1772209845.485,58.82,1,0.707,0
1772209845.502,58.82,1,0.707,0
1772209845.519,58.82,1,0.707,0
1772209845.536,58.82,1,0.707,0
1772209845.553,58.82,1,0.707,0
1772209845.569,62.50,1,0.707,0
1772209845.586,58.82,1,0.707,0
1772209845.602,58.82,1,0.707,0
1772209845.621,55.56,1,0.707,0
1772209845.637,58.82,1,0.707,0
1772209845.654,62.50,1,0.707,0
1772209845.671,58.82,1,0.707,0
1772209845.688,58.82,1,0.707,0
1772209845.705,58.82,1,0.707,0
1772209845.723,55.56,1,0.707,0
1772209845.740,58.82,1,0.707,0
1772209845.760,50.00,1,0.707,0
1772209845.778,55.56,1,0.707,0
1772209845.795,58.82,1,0.707,0
1772209845.812,58.82,1,0.707,0
1772209845.829,55.56,1,0.707,0
1772209845.846,58.82,1,0.707,0
1772209845.864,58.82,1,0.707,0
1772209845.880,62.50,1,0.707,0
1772209845.898,55.56,1,0.707,0
1772209845.914,62.50,1,0.707,0
1772209845.931,58.82,1,0.707,0
1772209845.948,58.82,1,0.707,0
1772209845.964,58.82,1,0.707,0
1772209845.981,62.50,1,0.707,0
1772209845.998,58.82,1,0.707,0
1772209846.015,58.82,1,0.707,0
1772209846.032,58.82,1,0.707,0
1772209846.049,58.82,1,0.707,0
1772209846.066,58.82,1,0.707,0
1772209846.083,58.82,1,0.707,0
1772209846.100,55.56,1,0.707,0
1772209846.118,58.82,1,0.707,0
1772209846.135,58.82,1,0.707,0
