Timestamp,Framerate,Active_Entities,Memory_MB,Active_Quadtree_Nodes
1772209105.691,2.73,1,0.707,1
1772209105.723,31.25,1,0.707,1
1772209105.741,55.56,1,0.707,1
1772209105.760,52.63,1,0.707,1
1772209105.781,47.62,1,0.707,1
1772209105.800,50.00,1,0.707,1
1772209105.817,58.82,1,0.707,1
1772209105.835,58.82,1,0.707,1
1772209105.852,58.82,1,0.707,1
1772209105.869,58.82,1,0.707,1
1772209105.886,58.82,1,0.707,1
1772209105.903,58.82,1,0.707,1
1772209105.919,62.50,1,0.707,1
1772209105.936,58.82,1,0.707,1
1772209105.952,62.50,1,0.707,1
1772209105.969,58.82,1,0.707,1
1772209105.985,62.50,1,0.707,1
1772209106.001,62.50,1,0.707,1
1772209106.017,58.82,1,0.707,1
1772209106.033,62.50,1,0.707,1
1772209106.050,58.82,1,0.707,1
1772209106.067,62.50,1,0.707,1
1772209106.082,62.50,1,0.707,1
1772209106.099,62.50,1,0.707,1
1772209106.116,58.82,1,0.707,1
1772209106.132,62.50,1,0.707,1
1772209106.147,62.50,1,0.707,1
1772209106.164,62.50,1,0.707,1
1772209106.180,62.50,1,0.707,1
1772209106.197,58.82,1,0.707,1
1772209106.213,62.50,1,0.707,1
1772209106.230,58.82,1,0.707,1
1772209106.247,58.82,1,0.707,1
1772209106.263,62.50,1,0.707,1
1772209106.280,58.82,1,0.707,1
1772209106.297,58.82,1,0.707,1
1772209106.313,58.82,1,0.707,1
1772209106.330,62.50,1,0.707,1
1772209106.346,62.50,1,0.707,1
1772209106.363,58.82,1,0.707,1
1772209106.380,58.82,1,0.707,1
1772209106.397,58.82,1,0.707,1
1772209106.413,62.50,1,0.707,1
1772209106.430,58.82,1,0.707,1
1772209106.447,58.82,1,0.707,1
1772209106.463,62.50,1,0.707,1
1772209106.480,58.82,1,0.707,1
1772209106.497,58.82,1,0.707,1
1772209106.513,62.50,1,0.707,1
1772209106.530,58.82,1,0.707,1
1772209106.547,58.82,1,0.707,1
1772209106.563,58.82,1,0.707,1
1772209106.580,62.50,1,0.707,1
1772209106.596,58.82,1,0.707,1
1772209106.613,62.50,1,0.707,1
1772209106.630,58.82,1,0.707,1
1772209106.647,58.82,1,0.707,1
1772209106.663,62.50,1,0.707,1
1772209106.680,58.82,1,0.707,1
1772209106.701,47.62,1,0.707,1
1772209106.718,58.82,1,0.707,1
1772209106.734,62.50,1,0.707,1
1772209106.750,62.50,1,0.707,1
1772209106.766,62.50,1,0.707,1
1772209106.782,62.50,1,0.707,1
1772209106.798,62.50,1,0.707,1
1772209106.814,62.50,1,0.707,1
1772209106.830,62.50,1,0.707,1
1772209106.847,58.82,1,0.707,1
