Timestamp,Framerate,Active_Entities,Memory_MB,Active_Quadtree_Nodes
1771938027.168,9.43,0,0.016,1
1771938027.184,62.50,0,0.016,1
1771938027.201,58.82,0,0.016,1
1771938027.217,58.82,0,0.016,1
1771938027.234,58.82,0,0.016,1
1771938027.251,58.82,0,0.016,1
1771938027.268,62.50,0,0.016,1
1771938027.285,58.82,0,0.016,1
1771938027.302,58.82,0,0.016,1
1771938027.318,58.82,0,0.016,1
1771938027.336,58.82,0,0.016,1
1771938027.352,62.50,0,0.016,1
1771938027.369,58.82,0,0.016,1
1771938027.386,58.82,0,0.016,1
1771938027.402,62.50,0,0.016,1
1771938027.419,58.82,0,0.016,1
1771938027.443,41.67,0,0.016,1
1771938027.461,55.56,0,0.016,1
1771938027.478,58.82,0,0.016,1
1771938027.494,58.82,0,0.016,1
1771938027.511,62.50,0,0.016,1
1771938027.528,58.82,0,0.016,1
1771938027.544,58.82,0,0.016,1
1771938027.561,62.50,0,0.016,1
1771938027.577,62.50,0,0.016,1
1771938027.594,58.82,0,0.016,1
1771938027.611,58.82,0,0.016,1
1771938027.628,58.82,0,0.016,1
1771938027.644,58.82,0,0.016,1
1771938027.662,58.82,0,0.016,1
1771938027.679,58.82,0,0.016,1
1771938027.696,58.82,0,0.016,1
1771938027.713,55.56,0,0.016,1
1771938027.731,58.82,0,0.016,1
1771938027.747,58.82,0,0.016,1
1771938027.764,62.50,0,0.016,1
1771938027.781,58.82,0,0.016,1
1771938027.798,58.82,0,0.016,1
1771938027.814,62.50,0,0.016,1
1771938027.830,62.50,0,0.016,1
1771938027.846,62.50,0,0.016,1
1771938027.863,58.82,0,0.016,1
1771938027.879,58.82,0,0.016,1
1771938027.897,58.82,0,0.016,1
1771938027.914,55.56,0,0.016,1
1771938027.932,58.82,0,0.016,1
1771938027.948,62.50,0,0.016,1
1771938027.964,62.50,0,0.016,1
1771938027.980,58.82,0,0.016,1
1771938027.998,58.82,0,0.016,1
1771938028.015,58.82,0,0.016,1
1771938028.032,58.82,0,0.016,1
1771938028.048,62.50,0,0.016,1
1771938028.064,62.50,0,0.016,1
1771938028.080,58.82,0,0.016,1
1771938028.097,62.50,0,0.016,1
1771938028.113,62.50,0,0.016,1
1771938028.130,58.82,0,0.016,1
1771938028.146,62.50,0,0.016,1
1771938028.163,58.82,0,0.016,1
1771938028.180,58.82,0,0.016,1
1771938028.196,62.50,0,0.016,1
1771938028.212,62.50,0,0.016,1
1771938028.229,58.82,0,0.016,1
1771938028.245,58.82,0,0.016,1
1771938028.263,58.82,0,0.016,1
1771938028.279,62.50,0,0.016,1
1771938028.295,58.82,0,0.016,1
1771938028.312,62.50,0,0.016,1
1771938028.329,58.82,0,0.016,1
1771938028.346,58.82,0,0.016,1
1771938028.362,62.50,0,0.016,1
1771938028.378,62.50,0,0.016,1
1771938028.395,58.82,0,0.016,1
1771938028.411,62.50,0,0.016,1
1771938028.428,58.82,0,0.016,1
1771938028.444,62.50,0,0.016,1
1771938028.460,62.50,0,0.016,1
1771938028.477,58.82,0,0.016,1
1771938028.493,58.82,0,0.016,1
1771938028.532,26.32,0,0.016,1
1771938028.548,62.50,0,0.016,1
1771938028.565,55.56,0,0.016,1
1771938028.582,62.50,0,0.016,1
1771938028.599,58.82,0,0.016,1
1771938028.616,58.82,0,0.016,1
1771938028.632,62.50,0,0.016,1
1771938028.649,58.82,0,0.016,1
1771938028.665,58.82,0,0.016,1
1771938028.683,58.82,0,0.016,1
1771938028.700,58.82,0,0.016,1
1771938028.717,58.82,0,0.016,1
1771938028.734,58.82,0,0.016,1
1771938028.751,58.82,0,0.016,1
1771938028.767,62.50,0,0.016,1
1771938028.783,62.50,0,0.016,1
1771938028.800,58.82,0,0.016,1
1771938028.817,58.82,0,0.016,1
1771938028.833,58.82,0,0.016,1
1771938028.850,62.50,0,0.016,1
1771938028.871,47.62,0,0.016,1
1771938028.888,58.82,0,0.016,1
1771938028.904,62.50,0,0.016,1
1771938028.920,62.50,0,0.016,1
1771938028.936,62.50,0,0.016,1
1771938028.952,62.50,0,0.016,1
1771938028.968,62.50,0,0.016,1
1771938028.984,62.50,0,0.016,1
1771938029.001,58.82,0,0.016,1
1771938029.018,58.82,0,0.016,1
1771938029.035,58.82,0,0.016,1
1771938029.050,62.50,0,0.016,1
1771938029.067,62.50,0,0.016,1
1771938029.084,58.82,0,0.016,1
1771938029.101,58.82,0,0.016,1
1771938029.117,62.50,0,0.016,1
1771938029.133,62.50,0,0.016,1
1771938029.150,58.82,0,0.016,1
1771938029.166,62.50,0,0.016,1
1771938029.183,58.82,0,0.016,1
1771938029.200,58.82,0,0.016,1
1771938029.217,58.82,0,0.016,1
1771938029.234,58.82,0,0.016,1
1771938029.251,58.82,0,0.016,1
1771938029.268,58.82,0,0.016,1
1771938029.284,62.50,0,0.016,1
1771938029.301,58.82,0,0.016,1
1771938029.317,62.50,0,0.016,1
1771938029.333,62.50,0,0.016,1
1771938029.350,58.82,0,0.016,1
1771938029.366,62.50,0,0.016,1
1771938029.383,58.82,0,0.016,1
1771938029.400,58.82,0,0.016,1
1771938029.416,62.50,0,0.016,1
1771938029.433,58.82,0,0.016,1
1771938029.449,62.50,0,0.016,1
1771938029.466,58.82,0,0.016,1
1771938029.483,58.82,0,0.016,1
1771938029.499,62.50,0,0.016,1
1771938029.515,58.82,0,0.016,1
1771938029.533,58.82,0,0.016,1
1771938029.550,58.82,0,0.016,1
1771938029.566,62.50,0,0.016,1
1771938029.582,62.50,0,0.016,1
1771938029.598,58.82,0,0.016,1
1771938029.615,62.50,0,0.016,1
