Timestamp,Framerate,Active_Entities,Memory_MB,Active_Quadtree_Nodes
1772102213.228,0.87,1,0.707,1
1772102213.306,12.99,1,0.707,1
1772102213.329,43.48,1,0.707,1
1772102213.351,43.48,1,0.707,1
1772102213.371,50.00,1,0.707,1
1772102213.392,47.62,1,0.707,1
1772102213.423,32.26,1,0.707,1
1772102213.448,40.00,1,0.707,1
1772102213.468,50.00,1,0.707,1
1772102213.487,52.63,1,0.707,1
1772102213.505,55.56,1,0.707,1
1772102213.524,55.56,1,0.707,1
1772102213.542,52.63,1,0.707,1
1772102213.560,55.56,1,0.707,1
1772102213.580,52.63,1,0.707,1
1772102213.597,55.56,1,0.707,1
1772102213.615,55.56,1,0.707,1
1772102213.632,58.82,1,0.707,1
1772102213.650,55.56,1,0.707,1
1772102213.667,58.82,1,0.707,1
1772102213.684,58.82,1,0.707,1
1772102213.701,58.82,1,0.707,1
1772102213.718,58.82,1,0.707,1
1772102213.735,58.82,1,0.707,1
1772102213.752,58.82,1,0.707,1
1772102213.769,62.50,1,0.707,1
1772102213.785,58.82,1,0.707,1
1772102213.802,58.82,1,0.707,1
1772102213.819,58.82,1,0.707,1
1772102213.836,58.82,1,0.707,1
1772102213.853,58.82,1,0.707,1
1772102213.869,62.50,1,0.707,1
1772102213.886,58.82,1,0.707,1
1772102213.903,58.82,1,0.707,1
1772102213.919,62.50,1,0.707,1
1772102213.936,58.82,1,0.707,1
1772102213.953,58.82,1,0.707,1
1772102213.970,62.50,1,0.707,1
1772102213.986,58.82,1,0.707,1
1772102214.003,62.50,1,0.707,1
1772102214.019,58.82,1,0.707,1
1772102214.036,58.82,1,0.707,1
1772102214.052,62.50,1,0.707,1
1772102214.069,58.82,1,0.707,1
1772102214.085,62.50,1,0.707,1
1772102214.102,58.82,1,0.707,1
1772102214.118,62.50,1,0.707,1
1772102214.135,58.82,1,0.707,1
1772102214.152,58.82,1,0.707,1
1772102214.168,62.50,1,0.707,1
1772102214.185,58.82,1,0.707,1
1772102214.202,58.82,1,0.707,1
1772102214.218,62.50,1,0.707,1
1772102214.235,58.82,1,0.707,1
1772102214.251,62.50,1,0.707,1
1772102214.268,58.82,1,0.707,1
1772102214.284,62.50,1,0.707,1
1772102214.301,58.82,1,0.707,1
1772102214.318,58.82,1,0.707,1
1772102214.334,62.50,1,0.707,1
1772102214.351,58.82,1,0.707,1
1772102214.368,58.82,1,0.707,1
