Timestamp,Framerate,Active_Entities,Memory_MB,Active_Quadtree_Nodes
1772102398.689,0.84,1,0.707,1
1772102398.720,32.26,1,0.707,1
1772102398.745,40.00,1,0.707,1
1772102398.767,45.45,1,0.707,1
1772102398.791,41.67,1,0.707,1
1772102398.813,45.45,1,0.707,1
1772102398.833,50.00,1,0.707,1
1772102398.852,52.63,1,0.707,1
1772102398.873,47.62,1,0.707,1
1772102398.903,33.33,1,0.707,1
1772102398.933,33.33,1,0.707,1
1772102398.953,50.00,1,0.707,1
1772102398.971,55.56,1,0.707,1
1772102398.989,55.56,1,0.707,1
1772102399.008,52.63,1,0.707,1
1772102399.026,55.56,1,0.707,1
1772102399.043,58.82,1,0.707,1
1772102399.061,55.56,1,0.707,1
1772102399.078,58.82,1,0.707,1
1772102399.095,58.82,1,0.707,1
1772102399.113,55.56,1,0.707,1
1772102399.130,58.82,1,0.707,1
1772102399.147,58.82,1,0.707,1
1772102399.164,58.82,1,0.707,1
1772102399.181,58.82,1,0.707,1
1772102399.198,58.82,1,0.707,1
1772102399.215,58.82,1,0.707,1
1772102399.231,62.50,1,0.707,1
1772102399.248,58.82,1,0.707,1
1772102399.265,58.82,1,0.707,1
1772102399.281,58.82,1,0.707,1
1772102399.298,62.50,1,0.707,1
1772102399.315,58.82,1,0.707,1
1772102399.331,62.50,1,0.707,1
1772102399.348,58.82,1,0.707,1
1772102399.365,58.82,1,0.707,1
1772102399.382,58.82,1,0.707,1
1772102399.398,62.50,1,0.707,1
1772102399.415,58.82,1,0.707,1
1772102399.431,62.50,1,0.707,1
1772102399.448,58.82,1,0.707,1
1772102399.465,58.82,1,0.707,1
1772102399.482,58.82,1,0.707,1
1772102399.498,62.50,1,0.707,1
1772102399.515,58.82,1,0.707,1
1772102399.532,58.82,1,0.707,1
1772102399.549,58.82,1,0.707,1
1772102399.566,58.82,1,0.707,1
1772102399.582,62.50,1,0.707,1
1772102399.599,58.82,1,0.707,1
1772102399.616,58.82,1,0.707,1
1772102399.632,62.50,1,0.707,1
1772102399.649,58.82,1,0.707,1
1772102399.666,58.82,1,0.707,1
1772102399.682,62.50,1,0.707,1
1772102399.699,58.82,1,0.707,1
1772102399.716,58.82,1,0.707,1
1772102399.733,58.82,1,0.707,1
1772102399.749,62.50,1,0.707,1
1772102399.766,58.82,1,0.707,1
1772102399.783,58.82,1,0.707,1
1772102399.800,58.82,1,0.707,1
1772102399.816,62.50,1,0.707,1
1772102399.833,58.82,1,0.707,1
1772102399.850,58.82,1,0.707,1
1772102399.867,58.82,1,0.707,1
1772102399.884,58.82,1,0.707,1
1772102399.900,62.50,1,0.707,1
1772102399.917,58.82,1,0.707,1
1772102399.934,58.82,1,0.707,1
1772102399.950,62.50,1,0.707,1
1772102399.967,58.82,1,0.707,1
1772102399.984,58.82,1,0.707,1
1772102400.000,62.50,1,0.707,1
1772102400.017,58.82,1,0.707,1
1772102400.034,58.82,1,0.707,1
1772102400.050,62.50,1,0.707,1
1772102400.067,58.82,1,0.707,1
1772102400.084,58.82,1,0.707,1
1772102400.101,58.82,1,0.707,1
