Timestamp,Framerate,Active_Entities,Memory_MB,Active_Quadtree_Nodes
1772202779.386,0.85,1,0.707,1
1772202779.410,43.48,1,0.707,1
1772202779.426,62.50,1,0.707,1
1772202779.441,62.50,1,0.707,1
1772202779.458,62.50,1,0.707,1
1772202779.474,62.50,1,0.707,1
1772202779.490,62.50,1,0.707,1
1772202779.506,62.50,1,0.707,1
1772202779.522,62.50,1,0.707,1
1772202779.538,62.50,1,0.707,1
1772202779.554,62.50,1,0.707,1
1772202779.571,58.82,1,0.707,1
1772202779.587,62.50,1,0.707,1
1772202779.603,62.50,1,0.707,1
1772202779.619,62.50,1,0.707,1
1772202779.635,62.50,1,0.707,1
1772202779.651,62.50,1,0.707,1
1772202779.668,58.82,1,0.707,1
1772202779.685,58.82,1,0.707,1
1772202779.701,58.82,1,0.707,1
1772202779.718,62.50,1,0.707,1
1772202779.734,62.50,1,0.707,1
1772202779.751,58.82,1,0.707,1
1772202779.767,62.50,1,0.707,1
1772202779.783,62.50,1,0.707,1
1772202779.799,58.82,1,0.707,1
1772202779.816,62.50,1,0.707,1
1772202779.833,58.82,1,0.707,1
1772202779.849,62.50,1,0.707,1
1772202779.866,58.82,1,0.707,1
1772202779.882,62.50,1,0.707,1
1772202779.899,58.82,1,0.707,1
1772202779.915,58.82,1,0.707,1
1772202779.931,62.50,1,0.707,1
1772202779.948,62.50,1,0.707,1
1772202779.964,58.82,1,0.707,1
1772202779.982,58.82,1,0.707,1
1772202779.998,58.82,1,0.707,1
1772202780.016,58.82,1,0.707,1
1772202780.033,58.82,1,0.707,1
1772202780.049,62.50,1,0.707,1
1772202780.066,58.82,1,0.707,1
1772202780.082,62.50,1,0.707,1
1772202780.098,58.82,1,0.707,1
1772202780.115,62.50,1,0.707,1
1772202780.132,58.82,1,0.707,1
1772202780.148,62.50,1,0.707,1
1772202780.165,58.82,1,0.707,1
1772202780.181,62.50,1,0.707,1
1772202780.197,58.82,1,0.707,1
1772202780.214,62.50,1,0.707,1
1772202780.230,58.82,1,0.707,1
1772202780.247,62.50,1,0.707,1
1772202780.264,58.82,1,0.707,1
1772202780.280,62.50,1,0.707,1
1772202780.297,58.82,1,0.707,1
1772202780.313,58.82,1,0.707,1
1772202780.330,62.50,1,0.707,1
1772202780.346,58.82,1,0.707,1
1772202780.363,62.50,1,0.707,1
1772202780.379,58.82,1,0.707,1
1772202780.396,62.50,1,0.707,1
1772202780.412,58.82,1,0.707,1
1772202780.430,58.82,1,0.707,1
1772202780.447,58.82,1,0.707,1
1772202780.463,62.50,1,0.707,1
1772202780.480,58.82,1,0.707,1
1772202780.496,62.50,1,0.707,1
1772202780.512,62.50,1,0.707,1
1772202780.528,58.82,1,0.707,1
1772202780.545,62.50,1,0.707,1
1772202780.562,58.82,1,0.707,1
1772202780.579,58.82,1,0.707,1
1772202780.595,62.50,1,0.707,1
1772202780.611,62.50,1,0.707,1
1772202780.628,58.82,1,0.707,1
1772202780.645,58.82,1,0.707,1
1772202780.662,58.82,1,0.707,1
1772202780.678,62.50,1,0.707,1
1772202780.694,58.82,1,0.707,1
1772202780.712,58.82,1,0.707,1
1772202780.728,62.50,1,0.707,1
1772202780.744,62.50,1,0.707,1
1772202780.761,58.82,1,0.707,1
1772202780.777,62.50,1,0.707,1
1772202780.793,62.50,1,0.707,1
1772202780.808,62.50,1,0.707,1
1772202780.825,62.50,1,0.707,1
1772202780.841,58.82,1,0.707,1
1772202780.858,62.50,1,0.707,1
1772202780.874,62.50,1,0.707,1
1772202780.891,58.82,1,0.707,1
1772202780.907,62.50,1,0.707,1
1772202780.924,58.82,1,0.707,1
1772202780.940,62.50,1,0.707,1
1772202780.956,58.82,1,0.707,1
1772202780.973,62.50,1,0.707,1
1772202780.989,62.50,1,0.707,1
1772202781.005,62.50,1,0.707,1
1772202781.021,62.50,1,0.707,1
1772202781.038,58.82,1,0.707,1
1772202781.054,62.50,1,0.707,1
1772202781.070,58.82,1,0.707,1
1772202781.088,58.82,1,0.707,1
1772202781.104,62.50,1,0.707,1
1772202781.121,58.82,1,0.707,1
1772202781.137,58.82,1,0.707,1
1772202781.154,62.50,1,0.707,1
1772202781.171,58.82,1,0.707,1
1772202781.187,62.50,1,0.707,1
1772202781.204,58.82,1,0.707,1
1772202781.220,62.50,1,0.707,1
1772202781.237,58.82,1,0.707,1
1772202781.253,62.50,1,0.707,1
1772202781.270,58.82,1,0.707,1
1772202781.286,62.50,1,0.707,1
1772202781.303,58.82,1,0.707,1
1772202781.319,62.50,1,0.707,1
1772202781.335,58.82,1,0.707,1
1772202781.353,58.82,1,0.707,1
1772202781.369,58.82,1,0.707,1
1772202781.386,62.50,1,0.707,1
1772202781.402,58.82,1,0.707,1
1772202781.419,62.50,1,0.707,1
1772202781.436,58.82,1,0.707,1
1772202781.451,62.50,1,0.707,1
1772202781.469,58.82,1,0.707,1
1772202781.485,58.82,1,0.707,1
1772202781.502,62.50,1,0.707,1
1772202781.518,58.82,1,0.707,1
1772202781.535,62.50,1,0.707,1
1772202781.551,58.82,1,0.707,1
1772202781.568,62.50,1,0.707,1
1772202781.584,62.50,1,0.707,1
1772202781.601,58.82,1,0.707,1
1772202781.617,62.50,1,0.707,1
1772202781.634,58.82,1,0.707,1
1772202781.650,62.50,1,0.707,1
1772202781.666,58.82,1,0.707,1
1772202781.683,62.50,1,0.707,1
1772202781.700,58.82,1,0.707,1
1772202781.716,62.50,1,0.707,1
1772202781.733,58.82,1,0.707,1
