Timestamp,Framerate,Active_Entities,Memory_MB,Active_Quadtree_Nodes
1772208744.434,2.67,1,0.707,1
1772208744.464,32.26,1,0.707,1
1772208744.484,50.00,1,0.707,1
1772208744.505,50.00,1,0.707,1
1772208744.523,52.63,1,0.707,1
1772208744.542,52.63,1,0.707,1
1772208744.559,58.82,1,0.707,1
1772208744.576,58.82,1,0.707,1
1772208744.592,62.50,1,0.707,1
1772208744.609,58.82,1,0.707,1
1772208744.625,62.50,1,0.707,1
1772208744.642,62.50,1,0.707,1
1772208744.658,58.82,1,0.707,1
1772208744.675,58.82,1,0.707,1
1772208744.692,62.50,1,0.707,1
1772208744.708,62.50,1,0.707,1
1772208744.723,62.50,1,0.707,1
1772208744.739,62.50,1,0.707,1
1772208744.756,58.82,1,0.707,1
1772208744.773,62.50,1,0.707,1
1772208744.789,62.50,1,0.707,1
1772208744.804,62.50,1,0.707,1
1772208744.821,62.50,1,0.707,1
1772208744.836,62.50,1,0.707,1
1772208744.853,58.82,1,0.707,1
1772208744.870,62.50,1,0.707,1
1772208744.886,58.82,1,0.707,1
1772208744.903,58.82,1,0.707,1
1772208744.920,62.50,1,0.707,1
1772208744.937,58.82,1,0.707,1
1772208744.953,58.82,1,0.707,1
1772208744.970,62.50,1,0.707,1
1772208744.986,62.50,1,0.707,1
1772208745.001,62.50,1,0.707,1
1772208745.020,55.56,1,0.707,1
1772208745.036,58.82,1,0.707,1
1772208745.053,58.82,1,0.707,1
1772208745.070,62.50,1,0.707,1
1772208745.086,58.82,1,0.707,1
1772208745.103,58.82,1,0.707,1
1772208745.120,58.82,1,0.707,1
1772208745.137,62.50,1,0.707,1
1772208745.154,58.82,1,0.707,1
1772208745.170,62.50,1,0.707,1
1772208745.186,58.82,1,0.707,1
1772208745.203,62.50,1,0.707,1
1772208745.220,58.82,1,0.707,1
1772208745.236,62.50,1,0.707,1
1772208745.253,58.82,1,0.707,1
1772208745.270,55.56,1,0.707,1
1772208745.287,62.50,1,0.707,1
1772208745.303,58.82,1,0.707,1
1772208745.320,62.50,1,0.707,1
1772208745.337,58.82,1,0.707,1
1772208745.354,58.82,1,0.707,1
1772208745.370,62.50,1,0.707,1
1772208745.386,58.82,1,0.707,1
1772208745.403,58.82,1,0.707,1
1772208745.420,62.50,1,0.707,1
1772208745.440,50.00,1,0.707,1
1772208745.458,55.56,1,0.707,1
1772208745.473,62.50,1,0.707,1
1772208745.489,62.50,1,0.707,1
1772208745.505,62.50,1,0.707,1
1772208745.521,62.50,1,0.707,1
1772208745.538,62.50,1,0.707,1
1772208745.553,62.50,1,0.707,1
1772208745.570,62.50,1,0.707,1
1772208745.587,58.82,1,0.707,1
1772208745.603,62.50,1,0.707,1
1772208745.619,58.82,1,0.707,1
1772208745.636,58.82,1,0.707,1
1772208745.652,62.50,1,0.707,1
1772208745.670,58.82,1,0.707,1
1772208745.686,58.82,1,0.707,1
1772208745.703,58.82,1,0.707,1
1772208745.719,62.50,1,0.707,1
1772208745.736,62.50,1,0.707,1
1772208745.753,55.56,1,0.707,1
1772208745.770,58.82,1,0.707,1
1772208745.786,62.50,1,0.707,1
1772208745.803,58.82,1,0.707,1
1772208745.820,62.50,1,0.707,1
1772208745.837,58.82,1,0.707,1
1772208745.854,58.82,1,0.707,1
1772208745.870,62.50,1,0.707,1
1772208745.887,58.82,1,0.707,1
1772208745.903,62.50,1,0.707,1
1772208745.920,55.56,1,0.707,1
1772208745.936,62.50,1,0.707,1
1772208745.953,58.82,1,0.707,1
1772208745.970,62.50,1,0.707,1
1772208745.986,58.82,1,0.707,1
1772208746.002,62.50,1,0.707,1
1772208746.020,58.82,1,0.707,1
1772208746.036,58.82,1,0.707,1
1772208746.053,58.82,1,0.707,1
1772208746.069,62.50,1,0.707,1
1772208746.086,58.82,1,0.707,1
1772208746.103,58.82,1,0.707,1
1772208746.119,62.50,1,0.707,1
1772208746.136,58.82,1,0.707,1
1772208746.153,62.50,1,0.707,1
1772208746.170,58.82,1,0.707,1
1772208746.186,58.82,1,0.707,1
1772208746.203,58.82,1,0.707,1
1772208746.220,62.50,1,0.707,1
1772208746.237,58.82,1,0.707,1
1772208746.253,58.82,1,0.707,1
1772208746.270,58.82,1,0.707,1
1772208746.286,62.50,1,0.707,1
1772208746.303,58.82,1,0.707,1
1772208746.320,62.50,1,0.707,1
1772208746.336,58.82,1,0.707,1
1772208746.353,62.50,1,0.707,1
1772208746.370,58.82,1,0.707,1
1772208746.386,58.82,1,0.707,1
1772208746.403,58.82,1,0.707,1
1772208746.420,62.50,1,0.707,1
1772208746.436,58.82,1,0.707,1
1772208746.453,58.82,1,0.707,1
1772208746.470,62.50,1,0.707,1
1772208746.487,58.82,1,0.707,1
1772208746.503,58.82,1,0.707,1
1772208746.520,62.50,1,0.707,1
1772208746.537,58.82,1,0.707,1
1772208746.553,62.50,1,0.707,1
1772208746.570,55.56,1,0.707,1
1772208746.586,62.50,1,0.707,1
1772208746.603,58.82,1,0.707,1
1772208746.620,62.50,1,0.707,1
1772208746.637,58.82,1,0.707,1
1772208746.654,58.82,1,0.707,1
1772208746.670,62.50,1,0.707,1
1772208746.686,58.82,1,0.707,1
1772208746.703,58.82,1,0.707,1
1772208746.720,62.50,1,0.707,1
1772208746.736,58.82,1,0.707,1
1772208746.753,58.82,1,0.707,1
1772208746.769,62.50,1,0.707,1
1772208746.787,58.82,1,0.707,1
1772208746.803,58.82,1,0.707,1
1772208746.820,62.50,1,0.707,1
1772208746.837,58.82,1,0.707,1
1772208746.853,58.82,1,0.707,1
1772208746.871,58.82,1,0.707,1
1772208746.886,62.50,1,0.707,1
1772208746.903,62.50,1,0.707,1
1772208746.920,58.82,1,0.707,1
1772208746.936,58.82,1,0.707,1
1772208746.953,58.82,1,0.707,1
1772208746.969,62.50,1,0.707,1
1772208746.987,58.82,1,0.707,1
1772208747.003,58.82,1,0.707,1
1772208747.020,62.50,1,0.707,1
1772208747.037,58.82,1,0.707,1
1772208747.053,62.50,1,0.707,1
1772208747.070,55.56,1,0.707,1
1772208747.086,62.50,1,0.707,1
1772208747.103,58.82,1,0.707,1
1772208747.120,62.50,1,0.707,1
1772208747.137,58.82,1,0.707,1
1772208747.153,58.82,1,0.707,1
1772208747.170,62.50,1,0.707,1
1772208747.187,58.82,1,0.707,1
1772208747.203,58.82,1,0.707,1
1772208747.220,58.82,1,0.707,1
1772208747.236,62.50,1,0.707,1
1772208747.254,58.82,1,0.707,1
1772208747.270,62.50,1,0.707,1
1772208747.287,58.82,1,0.707,1
1772208747.303,58.82,1,0.707,1
1772208747.320,62.50,1,0.707,1
1772208747.337,58.82,1,0.707,1
1772208747.353,62.50,1,0.707,1
1772208747.370,58.82,1,0.707,1
1772208747.386,62.50,1,0.707,1
1772208747.401,62.50,1,0.707,1
1772208747.420,55.56,1,0.707,1
1772208747.436,58.82,1,0.707,1
1772208747.453,58.82,1,0.707,1
1772208747.469,62.50,1,0.707,1
1772208747.486,58.82,1,0.707,1
1772208747.503,62.50,1,0.707,1
1772208747.519,62.50,1,0.707,1
1772208747.535,62.50,1,0.707,1
1772208747.552,58.82,1,0.707,1
1772208747.570,55.56,1,0.707,1
1772208747.586,62.50,1,0.707,1
1772208747.603,55.56,1,0.707,1
