Timestamp,Framerate,Active_Entities,Memory_MB,Active_Quadtree_Nodes
1772209287.223,2.58,1,0.707,1
1772209287.288,15.38,1,0.707,1
1772209287.306,52.63,1,0.707,1
1772209287.330,43.48,1,0.707,1
1772209287.349,52.63,1,0.707,1
1772209287.367,55.56,1,0.707,1
1772209287.385,55.56,1,0.707,1
1772209287.403,55.56,1,0.707,1
1772209287.420,58.82,1,0.707,1
1772209287.438,55.56,1,0.707,1
1772209287.455,55.56,1,0.707,1
1772209287.473,58.82,1,0.707,1
1772209287.491,55.56,1,0.707,1
1772209287.511,50.00,1,0.707,1
1772209287.529,55.56,1,0.707,1
1772209287.548,52.63,1,0.707,1
1772209287.564,62.50,1,0.707,1
1772209287.581,55.56,1,0.707,1
1772209287.598,58.82,1,0.707,1
1772209287.615,62.50,1,0.707,1
1772209287.632,58.82,1,0.707,1
1772209287.648,58.82,1,0.707,1
1772209287.665,62.50,1,0.707,1
1772209287.681,62.50,1,0.707,1
1772209287.697,62.50,1,0.707,1
1772209287.714,58.82,1,0.707,1
1772209287.730,58.82,1,0.707,1
1772209287.747,58.82,1,0.707,1
1772209287.764,62.50,1,0.707,1
1772209287.781,58.82,1,0.707,1
1772209287.796,62.50,1,0.707,1
1772209287.813,58.82,1,0.707,1
1772209287.830,62.50,1,0.707,1
1772209287.847,58.82,1,0.707,1
1772209287.863,58.82,1,0.707,1
1772209287.880,58.82,1,0.707,1
1772209287.896,62.50,1,0.707,1
1772209287.913,62.50,1,0.707,1
1772209287.930,58.82,1,0.707,1
1772209287.946,62.50,1,0.707,1
1772209287.963,55.56,1,0.707,1
1772209287.980,62.50,1,0.707,1
1772209287.996,58.82,1,0.707,1
1772209288.013,62.50,1,0.707,1
1772209288.030,58.82,1,0.707,1
1772209288.047,55.56,1,0.707,1
1772209288.064,62.50,1,0.707,1
1772209288.081,58.82,1,0.707,1
1772209288.098,58.82,1,0.707,1
1772209288.114,62.50,1,0.707,1
1772209288.131,58.82,1,0.707,1
1772209288.147,62.50,1,0.707,1
1772209288.163,62.50,1,0.707,1
1772209288.180,58.82,1,0.707,1
1772209288.197,58.82,1,0.707,1
1772209288.214,58.82,1,0.707,1
1772209288.234,50.00,1,0.707,1
1772209288.251,58.82,1,0.707,1
1772209288.267,62.50,1,0.707,1
1772209288.283,62.50,1,0.707,1
1772209288.299,58.82,1,0.707,1
1772209288.315,62.50,1,0.707,1
1772209288.331,62.50,1,0.707,1
1772209288.348,62.50,1,0.707,1
1772209288.364,62.50,1,0.707,1
1772209288.381,58.82,1,0.707,1
1772209288.397,62.50,1,0.707,1
1772209288.413,62.50,1,0.707,1
